Yellow Robot	Blue Robot	Ball
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
