Field	Red Robot	Yellow Robot	Ball
(383.5523986816406, 355.52886962890625)	(277.56298828125, 424.341064453125)	(223.30880737304688, 92.27831268310547)	(180.17572021484375, 72.78003692626953)
(385.2636413574219, 356.9334716796875)	(240.2946319580078, 201.94430541992188)	(613.302001953125, 90.92845916748047)	(180.64053344726562, 74.90634155273438)
(385.0498352050781, 361.6654052734375)	(535.88818359375, 219.3775634765625)	(240.42054748535156, 202.5888214111328)	(181.7692413330078, 78.84380340576172)
(384.68890380859375, 363.753662109375)	(181.11456298828125, 97.68472290039062)	(223.62759399414062, 94.44966888427734)	(581.1416015625, 74.18122863769531)
(385.70135498046875, 364.2459716796875)	(279.00323486328125, 424.6622619628906)	(611.248046875, 94.0489273071289)	(181.82882690429688, 80.8593978881836)
(384.8951416015625, 364.36566162109375)	(239.33799743652344, 201.4906463623047)	(239.6678009033203, 202.13177490234375)	(577.8556518554688, 75.59808349609375)
(385.4493713378906, 364.888671875)	(536.8784790039062, 218.84088134765625)	(223.90264892578125, 95.7024917602539)	(182.66006469726562, 81.51947021484375)
(386.26068115234375, 365.5155334472656)	(181.67636108398438, 99.50177764892578)	(610.8589477539062, 95.22503662109375)	(579.2388916015625, 76.63848114013672)
(386.5610656738281, 366.42034912109375)	(280.77911376953125, 425.43255615234375)	(237.63473510742188, 201.83396911621094)	(182.3369598388672, 81.53137969970703)
(386.55584716796875, 367.07867431640625)	(237.2005615234375, 201.54840087890625)	(221.95608520507812, 96.08988189697266)	(579.8032836914062, 77.95354461669922)
(386.32037353515625, 367.4344482421875)	(538.021484375, 215.17291259765625)	(610.7205200195312, 95.90937042236328)	(182.777587890625, 81.42578887939453)
(385.9371032714844, 367.81085205078125)	(182.08035278320312, 101.62186431884766)	(236.64833068847656, 201.439697265625)	(578.7054443359375, 79.1481704711914)
(386.09625244140625, 368.4556579589844)	(281.8020324707031, 426.08074951171875)	(220.9832000732422, 96.7813720703125)	(182.68917846679688, 82.10924530029297)
(386.2646484375, 368.62860107421875)	(236.06666564941406, 200.90478515625)	(610.9758911132812, 96.6213150024414)	(577.2327880859375, 79.89671325683594)
