epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2103,1.43845,3.34697,1.33938,0.0667,0.75348,0.18657,0.03638,0.77692,3.66791,0.95718,0.000364887,0.000364887,0.000364887
2,29.3834,1.33871,2.41146,1.25174,0.57418,0.63579,0.63569,0.44098,0.85,1.98521,1.07823,0.000720663,0.000720663,0.000720663
3,42.8342,1.3873,2.02585,1.28315,0.62105,0.726,0.7365,0.58104,0.81381,1.51796,1.07502,0.00106177,0.00106177,0.00106177
4,55.8963,1.35227,1.72402,1.27114,0.71797,0.8609,0.89555,0.6693,0.81882,1.11983,1.01303,0.00104501,0.00104501,0.00104501
5,69.1442,1.28944,1.49906,1.25046,0.918,0.90878,0.98103,0.78335,0.70789,0.83991,0.97782,0.00102301,0.00102301,0.00102301
6,82.3772,1.27632,1.27227,1.25527,0.88833,0.81366,0.92201,0.76529,0.73098,0.95217,0.9957,0.00100101,0.00100101,0.00100101
7,95.5445,1.26193,1.15295,1.24963,0.93237,0.91574,0.94075,0.73135,0.77852,0.80808,0.9696,0.000979013,0.000979013,0.000979013
8,108.769,1.23097,1.07382,1.22726,0.81286,0.89876,0.9595,0.80852,0.63792,0.8481,0.91477,0.000957015,0.000957015,0.000957015
9,122.746,1.23032,1.00177,1.21383,0.89095,0.91748,0.95096,0.78844,0.64239,0.71434,0.9061,0.000935018,0.000935018,0.000935018
10,136.841,1.15241,0.91694,1.16784,0.85895,0.85069,0.93282,0.70728,0.89294,0.87995,1.00905,0.00091302,0.00091302,0.00091302
11,150.567,1.19563,0.90158,1.2133,0.89329,0.84185,0.90546,0.75304,0.67373,0.86602,0.91763,0.000891022,0.000891022,0.000891022
12,164.617,1.15741,0.8434,1.1839,0.90685,0.916,0.95984,0.82491,0.63206,0.63753,0.91159,0.000869024,0.000869024,0.000869024
13,178.245,1.10505,0.8265,1.1769,0.9194,0.91334,0.98403,0.84585,0.60158,0.60133,0.89238,0.000847026,0.000847026,0.000847026
14,191.807,1.13595,0.79179,1.18554,0.90563,0.86099,0.9764,0.83556,0.58666,0.74062,0.89207,0.000825029,0.000825029,0.000825029
15,205.192,1.08884,0.7725,1.16045,0.93817,0.95401,0.94241,0.81834,0.58951,0.54918,0.88699,0.000803031,0.000803031,0.000803031
16,218.751,1.10878,0.75669,1.15563,0.97841,0.96974,0.9893,0.86994,0.55105,0.42613,0.88212,0.000781033,0.000781033,0.000781033
17,232.15,1.06494,0.70146,1.14707,0.91946,0.92803,0.97709,0.8424,0.59775,0.53575,0.89622,0.000759035,0.000759035,0.000759035
18,245.64,1.08201,0.70044,1.15152,0.82105,0.86548,0.93691,0.81062,0.57203,0.70164,0.87317,0.000737037,0.000737037,0.000737037
19,259.199,1.08595,0.7077,1.15636,0.92671,0.95725,0.96964,0.85719,0.5729,0.50654,0.90042,0.00071504,0.00071504,0.00071504
20,272.692,1.03328,0.64378,1.13101,0.95367,0.97425,0.98745,0.87181,0.52696,0.39001,0.85954,0.000693042,0.000693042,0.000693042
21,286.206,1.02897,0.62505,1.12934,0.96033,0.95775,0.97666,0.84717,0.58428,0.45344,0.87757,0.000671044,0.000671044,0.000671044
22,299.659,1.01712,0.62442,1.119,0.97397,0.98179,0.9918,0.88256,0.51622,0.36441,0.86447,0.000649046,0.000649046,0.000649046
23,313.179,1.02458,0.62713,1.13392,0.9908,0.9675,0.99379,0.87621,0.55766,0.38642,0.87085,0.000627048,0.000627048,0.000627048
24,326.577,1.03013,0.62252,1.13358,0.92433,0.95085,0.98549,0.87386,0.5113,0.44399,0.85714,0.000605051,0.000605051,0.000605051
25,340.231,0.99731,0.58391,1.11493,0.97434,0.9783,0.99125,0.89663,0.51423,0.37419,0.8541,0.000583053,0.000583053,0.000583053
26,353.718,1.00038,0.58321,1.11913,0.96726,0.96595,0.99179,0.87674,0.50794,0.39215,0.85488,0.000561055,0.000561055,0.000561055
27,367.229,0.95024,0.55382,1.08894,0.95894,0.9591,0.98517,0.88348,0.49869,0.36441,0.84412,0.000539057,0.000539057,0.000539057
28,380.947,0.96092,0.55586,1.0956,0.97408,0.98333,0.98512,0.87808,0.49806,0.34505,0.85013,0.000517059,0.000517059,0.000517059
29,394.759,0.94891,0.54198,1.08872,0.98536,0.97306,0.99385,0.88386,0.5105,0.34811,0.85396,0.000495062,0.000495062,0.000495062
30,408.193,0.93721,0.52961,1.07935,0.96466,0.96211,0.98462,0.87103,0.50583,0.36887,0.849,0.000473064,0.000473064,0.000473064
31,421.424,0.91568,0.5163,1.06942,0.98136,0.96897,0.99306,0.89174,0.50322,0.35468,0.84737,0.000451066,0.000451066,0.000451066
32,434.695,0.92632,0.5209,1.08071,0.96038,0.97771,0.98121,0.87769,0.48601,0.34572,0.84307,0.000429068,0.000429068,0.000429068
33,447.99,0.92795,0.51287,1.07449,0.98835,0.96368,0.99273,0.88855,0.5042,0.32856,0.84958,0.00040707,0.00040707,0.00040707
34,461.222,0.92805,0.50653,1.08203,0.96758,0.96956,0.99172,0.89048,0.48137,0.36699,0.84564,0.000385073,0.000385073,0.000385073
35,474.33,0.90586,0.49247,1.07264,0.98455,0.98968,0.98308,0.88528,0.50792,0.31629,0.8455,0.000363075,0.000363075,0.000363075
36,487.404,0.8877,0.48439,1.06156,0.98018,0.97723,0.99361,0.88792,0.50329,0.30128,0.84643,0.000341077,0.000341077,0.000341077
37,500.528,0.91954,0.48973,1.07004,0.97692,0.97595,0.9823,0.88785,0.47379,0.34147,0.83862,0.000319079,0.000319079,0.000319079
38,513.664,0.90642,0.48417,1.0746,0.95093,0.97284,0.99034,0.89948,0.49016,0.36831,0.84333,0.000297081,0.000297081,0.000297081
39,526.753,0.87805,0.471,1.05395,0.97893,0.99036,0.99254,0.89903,0.48166,0.29264,0.84036,0.000275084,0.000275084,0.000275084
40,539.827,0.85135,0.44631,1.03197,0.98573,0.97123,0.99284,0.89923,0.47313,0.29802,0.83359,0.000253086,0.000253086,0.000253086
41,578.156,0.84792,0.40464,1.07643,0.98533,0.97698,0.98348,0.88229,0.47552,0.32344,0.83917,0.000231088,0.000231088,0.000231088
42,591.145,0.85794,0.39084,1.0852,0.94807,0.98072,0.98617,0.88709,0.46954,0.35091,0.8329,0.00020909,0.00020909,0.00020909
43,604.152,0.82883,0.36843,1.05857,0.98384,0.99134,0.99037,0.8984,0.45878,0.27886,0.83586,0.000187092,0.000187092,0.000187092
44,617.209,0.81862,0.36051,1.05286,0.98144,0.97368,0.9859,0.89944,0.48368,0.30544,0.83833,0.000165095,0.000165095,0.000165095
45,630.185,0.80595,0.34798,1.03818,0.98637,0.9854,0.98586,0.89879,0.45576,0.2735,0.83008,0.000143097,0.000143097,0.000143097
46,643.341,0.78063,0.34766,1.02717,0.97685,0.99272,0.98931,0.89928,0.45383,0.27402,0.83085,0.000121099,0.000121099,0.000121099
47,656.579,0.77468,0.35505,1.03484,0.98421,0.99286,0.98585,0.89997,0.45396,0.26897,0.83189,9.91012e-05,9.91012e-05,9.91012e-05
