epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.55715,1.2371,2.80663,1.39001,0.13415,0.38187,0.24856,0.2044,1.33401,3.51498,1.30994,0.00035,0.00035,0.00035
2,14.7328,1.11344,1.68313,1.28606,0.96841,0.25,0.32522,0.24685,1.26299,2.58514,1.3795,0.000705446,0.000705446,0.000705446
3,20.7719,1.0423,1.49431,1.24713,0.6658,0.29672,0.53011,0.34733,1.25632,2.25516,1.36028,0.00105371,0.00105371,0.00105371
4,26.738,1.0075,1.44007,1.23732,0.67183,0.46173,0.56711,0.38797,1.49295,1.89533,1.47136,0.00121287,0.00121287,0.00121287
5,32.651,1.02415,1.4143,1.24029,0.7506,0.6127,0.701,0.51436,1.14248,1.67108,1.35365,0.0012005,0.0012005,0.0012005
6,38.5966,0.97848,1.31248,1.19824,0.70246,0.66626,0.65917,0.49035,1.23365,1.34602,1.32303,0.00118812,0.00118812,0.00118812
7,44.4781,0.94563,1.30053,1.19843,0.7683,0.64728,0.72532,0.52306,1.10369,1.27716,1.25336,0.00117575,0.00117575,0.00117575
8,50.4291,0.92233,1.22488,1.17116,0.7376,0.79012,0.75497,0.55655,1.00741,1.11181,1.14176,0.00116337,0.00116337,0.00116337
9,56.3419,0.92983,1.23278,1.17838,0.74219,0.779,0.76283,0.57214,0.95843,1.15802,1.14971,0.001151,0.001151,0.001151
10,62.2682,0.87697,1.15261,1.13334,0.75067,0.74021,0.77277,0.594,0.96838,1.07265,1.18666,0.00113863,0.00113863,0.00113863
11,68.201,0.84953,1.09264,1.11903,0.72274,0.73989,0.77592,0.58958,0.9953,1.15086,1.17813,0.00112625,0.00112625,0.00112625
12,74.1141,0.85987,1.13741,1.13847,0.72229,0.73798,0.73167,0.55154,0.92525,1.06164,1.13022,0.00111388,0.00111388,0.00111388
13,80.1025,0.83641,1.15715,1.1355,0.66048,0.70854,0.70836,0.53377,0.9886,1.28218,1.16561,0.0011015,0.0011015,0.0011015
14,85.9953,0.81394,1.06105,1.09995,0.77924,0.78412,0.80687,0.6168,0.88651,1.05221,1.09593,0.00108913,0.00108913,0.00108913
15,91.9439,0.8084,1.07143,1.10308,0.74445,0.75019,0.74658,0.58083,0.91212,1.01816,1.11248,0.00107675,0.00107675,0.00107675
16,97.9687,0.81514,1.0368,1.09814,0.71112,0.65485,0.70375,0.51684,0.92734,1.39263,1.12941,0.00106437,0.00106437,0.00106437
17,104.93,0.77733,1.05684,1.0889,0.66909,0.77794,0.73288,0.56524,0.90974,1.10389,1.10545,0.001052,0.001052,0.001052
18,113.121,0.76709,1.04836,1.08544,0.76996,0.77572,0.79911,0.60838,0.93439,1.0095,1.08598,0.00103962,0.00103962,0.00103962
19,121.275,0.77761,1.0016,1.06702,0.77192,0.79806,0.81043,0.61563,0.86738,0.99689,1.0883,0.00102725,0.00102725,0.00102725
20,130.061,0.76904,0.9355,1.04505,0.79474,0.69827,0.75971,0.58247,0.85811,1.21068,1.06764,0.00101488,0.00101488,0.00101488
21,138.34,0.72685,0.95883,1.04225,0.74825,0.69685,0.76384,0.59497,0.8613,1.12909,1.05059,0.0010025,0.0010025,0.0010025
22,146.654,0.73723,0.96408,1.05996,0.75147,0.72368,0.78509,0.6052,0.82363,1.00444,1.03155,0.000990125,0.000990125,0.000990125
23,155.103,0.7445,0.94352,1.06251,0.7512,0.77151,0.77767,0.61587,0.85853,1.02579,1.0474,0.00097775,0.00097775,0.00097775
24,163.44,0.7343,0.92613,1.03675,0.78037,0.74651,0.79435,0.61358,0.88506,1.0607,1.06841,0.000965375,0.000965375,0.000965375
25,171.788,0.72947,0.95422,1.05348,0.71592,0.65926,0.71857,0.55723,0.85685,1.28936,1.03878,0.000953,0.000953,0.000953
26,179.938,0.69963,0.89076,1.02781,0.75122,0.73766,0.76967,0.61463,0.83411,0.99987,1.03954,0.000940625,0.000940625,0.000940625
27,187.35,0.71626,0.91956,1.0346,0.75029,0.71831,0.77622,0.62239,0.8019,0.99484,1.00461,0.00092825,0.00092825,0.00092825
28,193.223,0.71852,0.90837,1.03215,0.73248,0.66338,0.71698,0.56134,0.87914,1.25481,1.03541,0.000915875,0.000915875,0.000915875
29,199.102,0.69059,0.84486,1.00742,0.80353,0.72564,0.76172,0.60731,0.83824,1.07418,1.02923,0.0009035,0.0009035,0.0009035
30,204.996,0.68817,0.86179,1.0132,0.8155,0.78363,0.81659,0.65328,0.80587,0.86706,0.98608,0.000891125,0.000891125,0.000891125
31,210.862,0.69019,0.86396,1.01505,0.82161,0.74837,0.8032,0.63912,0.83977,0.93017,1.00964,0.00087875,0.00087875,0.00087875
